,wk_ending,itemdesc,totunits,wavg_price,agc_atpd,total_week_units,item_proportion,rev,adus
0,2013-01-12,Beef Category,338249.0,1.51,1338.5903225806453,1499153.0,0.22562673723095641,510755.99,48321.28571428572
1,2013-01-12,Big Mac,29791.0,3.69,1338.5903225806453,1499153.0,0.01987188765923158,109928.79,4255.857142857143
2,2013-01-12,Cheeseburger,53842.0,0.99,1338.5903225806453,1499153.0,0.03591494663986931,53303.58,7691.714285714285
3,2013-01-12,Chicken Category,204602.0,1.98,1338.5903225806453,1499153.0,0.1364783981354805,405111.96,29228.85714285714
4,2013-01-12,Core QP and QPC,25947.0,3.63,1338.5903225806453,1499153.0,0.017307773122556536,94187.61,3706.714285714286
5,2013-01-12,Hamburger,19516.0,0.89,1338.5903225806453,1499153.0,0.013018017507219076,17369.24,2788.0
6,2013-01-12,Large Burgers,66050.0,2.7,1338.5903225806453,1499153.0,0.044058211536781106,178335.0,9435.714285714286
7,2013-01-12,McChicken,72252.0,1.0,1338.5903225806453,1499153.0,0.048195214230969084,72252.0,10321.714285714286
8,2013-01-12,McDouble,113089.0,1.0,1338.5903225806453,1499153.0,0.07543526244486053,113089.0,16155.57142857143
9,2013-01-12,Total All Day Breakfast Items,293279.0,1.45,1338.5903225806453,1499153.0,0.19562979895981264,425254.55,41897.0
10,2013-01-12,Total Fries,282536.0,1.44,1338.5903225806453,1499153.0,0.18846375253226322,406851.83999999997,40362.28571428572
11,2013-01-19,Beef Category,327743.0,1.52,1306.975806451613,1460283.0,0.2244380027706958,498169.36,46820.42857142857
12,2013-01-19,Big Mac,29452.0,3.69,1306.975806451613,1460283.0,0.02016869332862192,108677.88,4207.428571428572
13,2013-01-19,Cheeseburger,53323.0,0.99,1306.975806451613,1460283.0,0.03651552473048032,52789.77,7617.571428571428
14,2013-01-19,Chicken Category,199612.0,1.72,1306.975806451613,1460283.0,0.1366940517694173,343332.64,28516.0
15,2013-01-19,Core QP and QPC,25572.0,3.65,1306.975806451613,1460283.0,0.017511674107005284,93337.8,3653.1428571428573
16,2013-01-19,Hamburger,18295.0,0.89,1306.975806451613,1460283.0,0.012528393468937185,16282.550000000001,2613.5714285714284
17,2013-01-19,Large Burgers,65418.0,3.57,1306.975806451613,1460283.0,0.04479816583497856,233542.25999999998,9345.42857142857
18,2013-01-19,McChicken,69090.0,1.0,1306.975806451613,1460283.0,0.04731274691275595,69090.0,9870.0
19,2013-01-19,McDouble,107397.0,1.0,1306.975806451613,1460283.0,0.07354533333607254,107397.0,15342.42857142857
20,2013-01-19,Total All Day Breakfast Items,289730.0,1.44,1306.975806451613,1460283.0,0.19840674718530585,417211.2,41390.0
21,2013-01-19,Total Fries,274651.0,1.38,1306.975806451613,1460283.0,0.18808066655572928,379018.37999999995,39235.857142857145
22,2013-01-26,Beef Category,310103.0,1.58,1157.4516129032259,1371810.0,0.22605389959250916,489962.74000000005,44300.42857142857
23,2013-01-26,Big Mac,29139.0,3.69,1157.4516129032259,1371810.0,0.021241279769064227,107522.91,4162.714285714285
24,2013-01-26,Cheeseburger,51214.0,0.99,1157.4516129032259,1371810.0,0.03733315838199167,50701.86,7316.285714285715
25,2013-01-26,Chicken Category,183532.0,2.01,1157.4516129032259,1371810.0,0.13378820682164438,368899.31999999995,26218.85714285714
26,2013-01-26,Core QP and QPC,25324.0,3.58,1157.4516129032259,1371810.0,0.018460282400623994,90659.92,3617.714285714286
27,2013-01-26,Hamburger,17262.0,0.89,1157.4516129032259,1371810.0,0.01258337524875894,15363.18,2466.0
28,2013-01-26,Large Burgers,64928.0,3.55,1157.4516129032259,1371810.0,0.047330169629905015,230494.4,9275.42857142857
29,2013-01-26,McChicken,64411.0,1.0,1157.4516129032259,1371810.0,0.04695329528141652,64411.0,9201.57142857143
30,2013-01-26,McDouble,98763.0,1.0,1157.4516129032259,1371810.0,0.07199466398407943,98763.0,14109.0
31,2013-01-26,Total All Day Breakfast Items,267444.0,1.43,1157.4516129032259,1371810.0,0.19495702757670522,382444.92,38206.28571428572
32,2013-01-26,Total Fries,259690.0,1.38,1157.4516129032259,1371810.0,0.1893046413133014,358372.19999999995,37098.57142857143
33,2013-02-02,Beef Category,340341.0,1.69,1234.6370967741937,1479014.0,0.23011344044072604,575176.29,48620.142857142855
34,2013-02-02,Big Mac,36728.0,3.69,1234.6370967741937,1479014.0,0.024832760203757367,135526.32,5246.857142857143
35,2013-02-02,Cheeseburger,53386.0,0.99,1234.6370967741937,1479014.0,0.03609566914173902,52852.14,7626.571428571428
36,2013-02-02,Chicken Category,193747.0,2.0,1234.6370967741937,1479014.0,0.13099740773244878,387494.0,27678.14285714286
37,2013-02-02,Core QP and QPC,31715.0,3.67,1234.6370967741937,1479014.0,0.02144333995486182,116394.05,4530.714285714285
38,2013-02-02,Hamburger,17519.0,0.89,1234.6370967741937,1479014.0,0.011845053528905069,15591.91,2502.714285714286
39,2013-02-02,Large Burgers,79766.0,3.74,1234.6370967741937,1479014.0,0.05393187623646564,298324.84,11395.142857142857
40,2013-02-02,McChicken,68150.0,1.0,1234.6370967741937,1479014.0,0.04607799520491354,68150.0,9735.714285714286
41,2013-02-02,McDouble,106125.0,1.0,1234.6370967741937,1479014.0,0.07175388468263316,106125.0,15160.714285714286
42,2013-02-02,Total All Day Breakfast Items,275476.0,1.45,1234.6370967741937,1479014.0,0.18625651954613007,399440.2,39353.71428571428
43,2013-02-02,Total Fries,276061.0,1.38,1234.6370967741937,1479014.0,0.1866520533274195,380964.18,39437.28571428572
