,wk_ending,itemdesc,totunits,wavg_price,agc_atpd,total_week_units,item_proportion,rev,adus,cost,cost_total,profit
1289,2015-04-11,Cheeseburger,61093.0,1.0,1169.6328125,1397356.0,0.0437204262907949,61093.0,8727.57142857143,0.5994920634920634,36624.76863492063,24468.231365079373
1290,2015-04-11,Chicken Category,197139.0,1.98,1169.6328125,1397356.0,0.14108001110669,390335.22,28162.714285714286,1.256063492063492,247619.10076190476,142716.1192380952
1291,2015-04-11,Core QP and QPC,46466.0,4.11,1169.6328125,1397356.0,0.0332528002885449,190975.26,6638.0,2.3965079365079363,111356.13777777777,79619.12222222224
1292,2015-04-11,Hamburger,17262.0,0.89,1169.6328125,1397356.0,0.0123533301463621,15363.18,2466.0,0.534,9217.908000000001,6145.271999999999
1293,2015-04-11,Large Burgers,80568.0,3.96,1169.6328125,1397356.0,0.0576574616633127,319049.28,11509.714285714286,2.4187936507936505,194877.36685714283,124171.9131428572
1294,2015-04-11,McChicken,68404.0,1.0,1169.6328125,1397356.0,0.048952450198804,68404.0,9772.0,0.6295555555555555,43064.11822222222,25339.88177777778
1295,2015-04-11,McDouble,59959.0,1.29,1169.6328125,1397356.0,0.0429088936534426,77347.11,8565.57142857143,0.723968253968254,43408.41253968255,33938.69746031745
1296,2015-04-11,Total All Day Breakfast Items,299620.0,1.49,1169.6328125,1397356.0,0.2144192317491033,446433.8,42802.857142857145,1.0560370370370369,316409.817037037,130023.982962963
1297,2015-04-11,Total Fries,264048.0,1.44,1169.6328125,1397356.0,0.1889625836222122,380229.12,37721.142857142855,0.8779365079365079,231817.37904761903,148411.74095238096
1298,2015-04-18,Beef Category,292218.0,2.08,1325.1171875,1488819.0,0.1962750341042128,607813.4400000001,41745.42857142857,1.1144761904761904,325670.0034285714,282143.43657142867
1299,2015-04-18,Big Mac,26775.0,3.99,1325.1171875,1488819.0,0.0179840531320462,106832.25,3825.0,2.343206349206349,62739.35,44092.9
1300,2015-04-18,Cheeseburger,65172.0,1.0,1325.1171875,1488819.0,0.0437742935843779,65172.0,9310.285714285714,0.5994920634920634,39070.09676190476,26101.90323809524
1301,2015-04-18,Chicken Category,207663.0,2.36,1325.1171875,1488819.0,0.1394816965662045,490084.68,29666.14285714286,1.256063492063492,260837.91295238095,229246.76704761904
1302,2015-04-18,Core QP and QPC,56817.0,3.73,1325.1171875,1488819.0,0.038162462999196,211927.41,8116.714285714285,2.3965079365079363,136162.39142857143,75765.01857142858
1303,2015-04-18,Hamburger,19001.0,0.89,1328.2515625,1488819.0,0.0127624647455466,16910.89,2714.428571428572,0.534,10146.534000000001,6764.355999999998
1304,2015-04-18,Large Burgers,88642.0,4.1,1325.1171875,1488819.0,0.0595384663951763,363432.2,12663.142857142857,2.4187936507936505,214406.70679365078,149025.49320634923
1305,2015-04-18,McChicken,71303.0,1.0,1325.1171875,1488819.0,0.0478923227067897,71303.0,10186.142857142857,0.6295555555555555,44889.19977777778,26413.80022222222
1306,2015-04-18,McDouble,62308.0,1.29,1325.1171875,1488819.0,0.0418506211970696,80377.32,8901.142857142857,0.723968253968254,45109.013968253974,35268.30603174603
1307,2015-04-18,Total All Day Breakfast Items,322998.0,1.45,1325.1171875,1488819.0,0.2169491388812206,468347.1,46142.57142857143,1.0560370370370369,341097.8508888888,127249.24911111116
1308,2015-04-18,Total Fries,275922.0,1.5,1325.1171875,1488819.0,0.1853294456881595,413883.0,39417.42857142857,0.8779365079365079,242241.99714285714,171641.00285714286
1309,2015-04-25,Beef Category,284732.0,2.04,1295.6953125,1478590.0,0.1925699483967834,580853.28,40676.0,1.1144761904761904,317327.03466666664,263526.2453333334
1310,2015-04-25,Big Mac,26241.0,3.99,1295.6953125,1478590.0,0.0177473133187699,104701.59,3748.714285714286,2.343206349206349,61488.077809523806,43213.51219047619
1311,2015-04-25,Cheeseburger,64014.0,1.0,1295.6953125,1478590.0,0.0432939489648922,64014.0,9144.857142857143,0.5994920634920634,38375.88495238095,25638.115047619052
1312,2015-04-25,Chicken Category,205659.0,1.94,1295.6953125,1478590.0,0.1390912964378225,398978.46,29379.85714285714,1.256063492063492,258320.76171428573,140657.6982857143
1313,2015-04-25,Core QP and QPC,55628.0,4.1,1295.6953125,1478590.0,0.03762232938137,228074.8,7946.857142857143,2.3965079365079363,133312.94349206347,94761.85650793652
1314,2015-04-25,Hamburger,18046.0,0.89,1295.6953125,1478590.0,0.0122048708566945,16060.94,2578.0,0.534,9636.564,6424.376
1315,2015-04-25,Large Burgers,86911.0,4.08,1295.6953125,1478590.0,0.058779648178332,354596.88,12415.857142857143,2.4187936507936505,210219.77498412697,144377.10501587304
